Type,Wifihotspots
Outdor Coverage,1754
Shop/Commercial Store/Shopping Areas,971
Bar/Restaurant & Cafe/Coffee Shop,837
Hotels,535
Payphones,210
Leisure Facilities,152
Public Building/Spaces,149
Offices,141
Other,135
Restaurants,59
Service Stations,58
Railway / Bus stations,30
Corporate office/Conference centres,25
Airports / Airlounges,19
Sports Venues,19
School/Universities,12














