Type,Wifihotspots
Airports / Airlounges,19
Bar/Restaurant & Cafe/Coffee Shop,837
Corporate office/Conference centres,25
Hotels,535
Leisure Facilities,152
Offices,141
Other,135
Outdor Coverage,1754
Payphones,210
Public Building/Spaces,149
Railway / Bus stations,30
Restaurants,59
School/Universities,12
Service Stations,58
Shop/Commercial Store/Shopping Areas,971
Sports Venues,19
